review_id,reviewer_id,review_date,rating,review_text,review_like_count,owner_response_text,owner_response_date,review_url,scraped_at,batch_number,text_word_count,is_valid_text,filter_reason,clean_text
Ci9DQUlRQUNvZENodHljRjlvT2xoT1pYaFpNMFEwYjNSb1JrRXlkalZOUVVSVVVHYxAB,105244303209764825909,2026-03-31T01:30:49.378Z,5,"Tempat bersih dan nyaman, bagi yang suka kunjungan/wisata yang meningkatkan experience, Rumah Atsiri sangat cocok untuk disinggahi.",0,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xoT1pYaFpNMFEwYjNSb1JrRXlkalZOUVVSVVVHYxAB!2m1!1s0x0:0x49cd93be2a9d4605!3m1!1s2@1:CAIQACodChtycF9oOlhOZXhZM0Q0b3RoRkEydjVNQURUUGc%7C%7C?hl=id,2026-06-01T14:54:06.956Z,batch_002,18,true,,"Tempat bersih dan nyaman, bagi yang suka kunjungan/wisata yang meningkatkan experience, Rumah Atsiri sangat cocok untuk disinggahi."
Ci9DQUlRQUNvZENodHljRjlvT204NGVuQmZWVkI2ZFdac2QzZEVURWd4TUdONVRrRRAB,100704469672164188186,2026-03-30T05:47:12.952Z,5,"Udara sejuk cocok untuk refreshing setelah sepekan bekerja. Banyakninformasi dan pengetahuan mengenai arsiri, minyak2 dr tumbuhan khas dari Indonesia.
Suka dengan ambiencenya.
Fasilitasnua lengkap.",0,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT204NGVuQmZWVkI2ZFdac2QzZEVURWd4TUdONVRrRRAB!2m1!1s0x0:0x49cd93be2a9d4605!3m1!1s2@1:CAIQACodChtycF9oOm84enBfVVB6dWZsd3dETEgxMGN5TkE%7C%7C?hl=id,2026-06-01T14:54:06.956Z,batch_002,24,true,,"Udara sejuk cocok untuk refreshing setelah sepekan bekerja. Banyakninformasi dan pengetahuan mengenai arsiri, minyak2 dr tumbuhan khas dari Indonesia. Suka dengan ambiencenya. Fasilitasnua lengkap."
Ci9DQUlRQUNvZENodHljRjlvT2tRNFlWRjBWRk53YUU5dE9FMU5VR1l5YjJ4M1FWRRAB,104712207963440684166,2026-03-29T11:15:42.512Z,4,"Sistem bayarnya pakai voucher. Per org 50rb, di dalam bs ditukarkan utk beli makanan di resto atau workshop membuat slime atau parfume. Selisihnya bs dibayar tunai atau qris. Wisata edukasi yg bgus utk anak2. Sy beli aromaterapinya dapet diskon stelah pembelian 1juta.",0,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tRNFlWRjBWRk53YUU5dE9FMU5VR1l5YjJ4M1FWRRAB!2m1!1s0x0:0x49cd93be2a9d4605!3m1!1s2@1:CAIQACodChtycF9oOkQ4YVF0VFNwaE9tOE1NUGYyb2x3QVE%7C%7C?hl=id,2026-06-01T14:54:06.956Z,batch_002,42,true,,"Sistem bayarnya pakai voucher. Per org 50rb, di dalam bs ditukarkan utk beli makanan di resto atau workshop membuat slime atau parfume. Selisihnya bs dibayar tunai atau qris. Wisata edukasi yg bgus utk anak2. Sy beli aromaterapinya dapet diskon stelah pembelian 1juta."
Ci9DQUlRQUNvZENodHljRjlvT25oVGJTMUVhbU5uYmxwdWFVbENaRTlvWTBsWU4zYxAB,100280149213958891777,2026-03-29T10:10:33.148Z,5,Selalu menyenangkan bisa berkunjung ke rumah atsiri 💕,0,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25oVGJTMUVhbU5uYmxwdWFVbENaRTlvWTBsWU4zYxAB!2m1!1s0x0:0x49cd93be2a9d4605!3m1!1s2@1:CAIQACodChtycF9oOnhTbS1EamNnblpuaUlCZE9oY0lYN3c%7C%7C?hl=id,2026-06-01T14:54:06.956Z,batch_002,7,true,,Selalu menyenangkan bisa berkunjung ke rumah atsiri 💕
Ci9DQUlRQUNvZENodHljRjlvT2t4VVRrZFNVVmhqYmtsNWVGQmhXbWxPWTJKTVMyYxAB,104120224068135174999,2026-03-29T09:41:12.548Z,5,"Love the vibes, take so many lovely photos with my wife, the museum tour is very amusing, the products are very attractive especially the perfume and soap.",0,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2t4VVRrZFNVVmhqYmtsNWVGQmhXbWxPWTJKTVMyYxAB!2m1!1s0x0:0x49cd93be2a9d4605!3m1!1s2@1:CAIQACodChtycF9oOkxUTkdSUVhjbkl5eFBhWmlOY2JMS2c%7C%7C?hl=id,2026-06-01T14:54:06.956Z,batch_002,27,true,,"Love the vibes, take so many lovely photos with my wife, the museum tour is very amusing, the products are very attractive especially the perfume and soap."
Ci9DQUlRQUNvZENodHljRjlvT214R2FHOTNha00xZVdKc1owUkhjek5DYUZOcmVFRRAB,110853349412666991151,2026-03-29T09:38:58.077Z,5,Tempat wisata yang wajib dikunjungi kalo ke Temanggung,0,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT214R2FHOTNha00xZVdKc1owUkhjek5DYUZOcmVFRRAB!2m1!1s0x0:0x49cd93be2a9d4605!3m1!1s2@1:CAIQACodChtycF9oOmxGaG93akM1eWJsZ0RHczNCaFNreEE%7C%7C?hl=id,2026-06-01T14:54:06.956Z,batch_002,8,true,,Tempat wisata yang wajib dikunjungi kalo ke Temanggung
Ci9DQUlRQUNvZENodHljRjlvT21SckxWSTFaREEwYWpGMlZHSldURVpLV25NM2JGRRAB,115808633939712790223,2026-03-29T06:43:28.168Z,5,"Pelayanan ramah, suasana bagus tenang",0,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21SckxWSTFaREEwYWpGMlZHSldURVpLV25NM2JGRRAB!2m1!1s0x0:0x49cd93be2a9d4605!3m1!1s2@1:CAIQACodChtycF9oOmRrLVI1ZDA0ajF2VGJWTEZKWnM3bFE%7C%7C?hl=id,2026-06-01T14:54:06.956Z,batch_002,5,true,,"Pelayanan ramah, suasana bagus tenang"
Ci9DQUlRQUNvZENodHljRjlvT2tWT1pGTnljM1JJYjNKQlNtUnBabEpGUW1acmMwRRAB,110233286811351314730,2026-03-29T06:36:16.796Z,5,"Mengunjungi museum dan membuat parfum kita sendiri, benar2 mengesankan..🥰",0,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tWT1pGTnljM1JJYjNKQlNtUnBabEpGUW1acmMwRRAB!2m1!1s0x0:0x49cd93be2a9d4605!3m1!1s2@1:CAIQACodChtycF9oOkVOZFNyc3RIb3JBSmRpZlJFQmZrc0E%7C%7C?hl=id,2026-06-01T14:54:06.956Z,batch_002,9,true,,"Mengunjungi museum dan membuat parfum kita sendiri, benar2 mengesankan..🥰"
Ci9DQUlRQUNvZENodHljRjlvT25oWk5XNUpWRFYxWW5OUlRTMWpUMGhTTFROeVYwRRAB,100837676955691569465,2026-03-28T15:30:29.553Z,5,"tempatnya bagus dengan penataan bunga yang cantik, wisata ini sangat edukatif karena banyak memberi pengetahuan tentang minyak Atsiri yang ternyata sangat bermanfaat bagi kesehatan, recommended untuk teman teman dari dunia farmasi dan kimia untuk datang berkunjung ke sini karena bisa berwisata sambil menambah ilmu pengetahuan yang linear 😁😁",0,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25oWk5XNUpWRFYxWW5OUlRTMWpUMGhTTFROeVYwRRAB!2m1!1s0x0:0x49cd93be2a9d4605!3m1!1s2@1:CAIQACodChtycF9oOnhZNW5JVDV1YnNRTS1jT0hSLTNyV0E%7C%7C?hl=id,2026-06-01T14:54:06.956Z,batch_002,47,true,,"tempatnya bagus dengan penataan bunga yang cantik, wisata ini sangat edukatif karena banyak memberi pengetahuan tentang minyak Atsiri yang ternyata sangat bermanfaat bagi kesehatan, recommended untuk teman teman dari dunia farmasi dan kimia untuk datang berkunjung ke sini karena bisa berwisata sambil menambah ilmu pengetahuan yang linear 😁😁"
Ci9DQUlRQUNvZENodHljRjlvT25wemR6TnVlVkJhU0Zad1ZrdDVNbkJvYUdka1lVRRAB,107749379496248846966,2026-03-28T09:53:44.737Z,5,"Seru menarik.. Atsiri artinya Essential Oil .. per orang masuk dg 50rb sbg deposit yg bisa dipakai utk belanja, masuk museum atau garden.. sebuah pengalaman bagaimana tanaman asli indonesia saat diolah secara tepat bisa menghasilkan Atsiri yg berharga.. senang sekali sekeluarga bisa beraktivitas keliling Garden dan ikut Tour de Museum, sebuah pengalaman menghirup aneka aroma menenangkan dipadu dg ilmu pengetahuan menjadikan petualangan yang menyenangkan dan bermanfaat..",0,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25wemR6TnVlVkJhU0Zad1ZrdDVNbkJvYUdka1lVRRAB!2m1!1s0x0:0x49cd93be2a9d4605!3m1!1s2@1:CAIQACodChtycF9oOnpzdzNueVBaSFZwVkt5MnBoaGdkYUE%7C%7C?hl=id,2026-06-01T14:54:06.956Z,batch_002,65,true,,"Seru menarik.. Atsiri artinya Essential Oil .. per orang masuk dg 50rb sbg deposit yg bisa dipakai utk belanja, masuk museum atau garden.. sebuah pengalaman bagaimana tanaman asli indonesia saat diolah secara tepat bisa menghasilkan Atsiri yg berharga.. senang sekali sekeluarga bisa beraktivitas keliling Garden dan ikut Tour de Museum, sebuah pengalaman menghirup aneka aroma menenangkan dipadu dg ilmu pengetahuan menjadikan petualangan yang menyenangkan dan bermanfaat.."
